C,Baseline,Initial Model Cost,Expression Reuse Model Cost
1,0,0,0
2,0,0,0
3,1,1,1
4,0,0,0
5,1,1,1
6,1,1,1
7,2,1,1
8,0,0,0
9,1,1,1
10,1,1,1
11,2,2,2
12,1,1,1
13,2,2,2
14,2,1,1
15,3,1,1
16,0,0,0
17,1,1,1
18,1,1,1
19,2,2,2
20,1,1,1
21,2,2,2
22,2,2,2
23,3,2,2
24,1,1,1
25,2,2,2
26,2,2,2
27,3,2,2
28,2,1,1
29,3,2,2
30,3,1,1
31,4,1,1
32,0,0,0
33,1,1,1
34,1,1,1
35,2,2,2
36,1,1,1
37,2,2,2
38,2,2,3
39,3,2,3
40,1,1,1
41,2,2,2
42,2,2,2
43,3,3,3
44,2,2,2
45,3,3,3
46,3,2,2
47,4,2,2
48,1,1,1
49,2,2,2
50,2,2,2
51,3,3,3
52,2,2,2
53,3,3,3
54,3,2,2
55,4,2,2
56,2,1,1
57,3,2,2
58,3,2,2
59,4,2,2
60,3,1,1
61,4,2,2
62,4,1,1
63,5,1,1
64,0,0,0
65,1,1,1
66,1,1,1
67,2,2,2
68,1,1,1
69,2,2,2
70,2,2,2
71,3,2,2
72,1,1,1
73,2,2,2
74,2,2,2
75,3,3,2
76,2,2,2
77,3,3,3
78,3,2,2
79,4,2,2
80,1,1,1
81,2,2,2
82,2,2,2
83,3,3,3
84,2,2,2
85,3,3,2
86,3,3,3
87,4,3,3
88,2,2,2
89,3,3,3
90,3,3,2
91,4,3,3
92,3,2,2
93,4,3,2
94,4,2,2
95,5,2,2
96,1,1,1
97,2,2,2
98,2,2,2
99,3,3,2
100,2,2,2
101,3,3,3
102,3,3,2
103,4,3,3
104,2,2,2
105,3,3,3
106,3,3,3
107,4,3,3
108,3,2,2
109,4,3,3
110,4,2,2
111,5,2,2
112,2,1,1
113,3,2,2
114,3,2,2
115,4,3,3
116,3,2,2
117,4,3,3
118,4,2,2
119,5,2,2
120,3,1,1
121,4,2,2
122,4,2,2
123,5,2,2
124,4,1,1
125,5,2,2
126,5,1,1
127,6,1,1
128,0,0,0
129,1,1,1
130,1,1,1
131,2,2,2
